Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Lead Time,Factory,Factory_Lat,Factory_Lon,Cust_Lat,Cust_Lon,Distance_km
15,US-2021-105417-CHO-MIL-31000,2024-01-07,2026-07-05,Standard Class,105417,United States,Huntsville,Texas,77340,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,910,Wicked Choccy's,32.076176,-81.088371,31.054487,-97.563461,1563.5053353424046
16,US-2021-105417-CHO-TRI-54000,2024-01-07,2026-07-05,Standard Class,105417,United States,Huntsville,Texas,77340,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,910,Wicked Choccy's,32.076176,-81.088371,31.054487,-97.563461,1563.5053353424046
17,US-2021-135405-CHO-TRI-54000,2024-01-09,2026-07-06,Standard Class,135405,United States,Laredo,Texas,78041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,909,Wicked Choccy's,32.076176,-81.088371,31.054487,-97.563461,1563.5053353424046
18,US-2021-135405-CHO-TRI-54000,2024-01-09,2026-07-06,Standard Class,135405,United States,Laredo,Texas,78041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,909,Wicked Choccy's,32.076176,-81.088371,31.054487,-97.563461,1563.5053353424046
19,US-2021-149020-CHO-MIL-31000,2024-01-10,2026-07-08,Standard Class,149020,United States,Springfield,Virginia,22153,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,910,Wicked Choccy's,32.076176,-81.088371,37.769337,-78.169968,686.5861038427788
20,US-2021-149020-OTH-GUM-21000,2024-01-10,2026-07-08,Standard Class,149020,United States,Springfield,Virginia,22153,Other,Gulf,OTH-GUM-21000,Wonka Gum,1.25,1,0.65,0.6,910,Secret Factory,41.446333,-90.565487,37.769337,-78.169968,1136.5788747237802
21,US-2021-130092-CHO-MIL-31000,2024-01-11,2026-07-07,First Class,130092,United States,Dover,Delaware,19901,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,908,Wicked Choccy's,32.076176,-81.088371,39.318523,-75.507141,949.5324680778724
22,US-2021-157147-CHO-MIL-31000,2024-01-13,2026-07-11,Standard Class,157147,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,910,Wicked Choccy's,32.076176,-81.088371,36.116203,-119.681564,3558.625078818893
23,US-2021-109232-CHO-NUT-13000,2024-01-13,2026-07-09,Second Class,109232,United States,Mount Pleasant,South Carolina,29464,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6.0,908,Lot's O' Nuts,32.881893,-111.768036,33.856892,-80.945007,2853.670705447169
24,US-2021-157147-CHO-MIL-31000,2024-01-13,2026-07-11,Standard Class,157147,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,910,Wicked Choccy's,32.076176,-81.088371,36.116203,-119.681564,3558.625078818893
25,US-2021-118192-CHO-SCR-58000,2024-01-13,2026-07-11,Standard Class,118192,United States,Newark,Ohio,43055,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,910,Lot's O' Nuts,32.881893,-111.768036,40.388783,-82.764915,2704.9652072939266
26,US-2021-162775-CHO-TRI-54000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,907,Wicked Choccy's,32.076176,-81.088371,31.169546,-91.867805,1025.1761030349362
27,US-2021-162775-OTH-KAZ-38000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Other,Gulf,OTH-KAZ-38000,Kazookles,9.75,3,0.75,9.0,907,The Other Factory,35.1175,-89.971107,31.169546,-91.867805,473.1484225776735
28,US-2021-162775-CHO-MIL-31000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,907,Wicked Choccy's,32.076176,-81.088371,31.169546,-91.867805,1025.1761030349362
29,US-2021-118192-CHO-SCR-58000,2024-01-13,2026-07-11,Standard Class,118192,United States,Newark,Ohio,43055,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,25.2,7,17.5,7.7,910,Lot's O' Nuts,32.881893,-111.768036,40.388783,-82.764915,2704.9652072939266
30,US-2021-162775-CHO-MIL-31000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,907,Wicked Choccy's,32.076176,-81.088371,31.169546,-91.867805,1025.1761030349362
31,US-2021-157147-CHO-NUT-13000,2024-01-13,2026-07-11,Standard Class,157147,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5.0,910,Lot's O' Nuts,32.881893,-111.768036,36.116203,-119.681564,809.0978294533443
32,US-2021-162775-CHO-SCR-58000,2024-01-13,2026-07-08,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,21.6,6,15.0,6.6,907,Lot's O' Nuts,32.881893,-111.768036,31.169546,-91.867805,1882.8642117219292
33,US-2021-149524-OTH-GUM-21000,2024-01-14,2026-07-08,First Class,149524,United States,Philadelphia,Pennsylvania,19140,Other,Atlantic,OTH-GUM-21000,Wonka Gum,5.0,4,2.6,2.4,906,Secret Factory,41.446333,-90.565487,40.590752,-77.209755,1123.4017702322296
34,US-2021-103366-CHO-SCR-58000,2024-01-15,2026-07-10,First Class,103366,United States,Roswell,Georgia,30076,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18.0,5,12.5,5.5,907,Lot's O' Nuts,32.881893,-111.768036,33.040619,-83.643074,2616.102514310551
35,US-2021-115791-CHO-TRI-54000,2024-01-16,2026-07-11,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,22.5,6,14.7,7.8,907,Wicked Choccy's,32.076176,-81.088371,40.590752,-77.209755,1008.2154426936254
36,US-2021-115791-CHO-FUD-51000,2024-01-16,2026-07-11,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,907,Lot's O' Nuts,32.881893,-111.768036,40.590752,-77.209755,3174.1279436279497
37,US-2021-115791-CHO-TRI-54000,2024-01-16,2026-07-11,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,907,Wicked Choccy's,32.076176,-81.088371,40.590752,-77.209755,1008.2154426936254
38,US-2021-115791-CHO-SCR-58000,2024-01-16,2026-07-11,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,907,Lot's O' Nuts,32.881893,-111.768036,40.590752,-77.209755,3174.1279436279497
39,US-2021-123477-CHO-NUT-13000,2024-01-18,2026-07-14,Second Class,123477,United States,Springfield,Oregon,97477,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,908,Lot's O' Nuts,32.881893,-111.768036,44.572021,-122.070938,1574.6422617443181
40,US-2021-146591-CHO-TRI-54000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,906,Wicked Choccy's,32.076176,-81.088371,33.729759,-111.431221,2828.563237450705
41,US-2021-146591-CHO-FUD-51000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,36.0,10,24.0,12.0,906,Lot's O' Nuts,32.881893,-111.768036,33.729759,-111.431221,99.33834141330021
42,US-2021-146591-CHO-TRI-54000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,906,Wicked Choccy's,32.076176,-81.088371,33.729759,-111.431221,2828.563237450705
43,US-2021-146591-CHO-FUD-51000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,906,Lot's O' Nuts,32.881893,-111.768036,33.729759,-111.431221,99.33834141330021
44,US-2021-147627-CHO-TRI-54000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,911,Wicked Choccy's,32.076176,-81.088371,34.969704,-92.373123,1093.709709108196
45,US-2021-167927-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,911,Lot's O' Nuts,32.881893,-111.768036,43.326618,-84.536095,2634.443188447122
46,US-2021-167927-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,911,Lot's O' Nuts,32.881893,-111.768036,43.326618,-84.536095,2634.443188447122
47,US-2021-147627-CHO-MIL-31000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,911,Wicked Choccy's,32.076176,-81.088371,34.969704,-92.373123,1093.709709108196
48,US-2021-148614-CHO-MIL-31000,2024-01-20,2026-07-18,Standard Class,148614,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,910,Wicked Choccy's,32.076176,-81.088371,36.116203,-119.681564,3558.625078818893
49,US-2021-167927-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,911,Lot's O' Nuts,32.881893,-111.768036,43.326618,-84.536095,2634.443188447122
50,US-2021-147627-CHO-TRI-54000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,911,Wicked Choccy's,32.076176,-81.088371,34.969704,-92.373123,1093.709709108196
51,US-2021-147627-CHO-SCR-58000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,911,Lot's O' Nuts,32.881893,-111.768036,34.969704,-92.373123,1801.5810404161675
52,US-2021-167927-CHO-NUT-13000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,911,Lot's O' Nuts,32.881893,-111.768036,43.326618,-84.536095,2634.443188447122
53,US-2021-167927-CHO-MIL-31000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,911,Wicked Choccy's,32.076176,-81.088371,43.326618,-84.536095,1286.914759831898
54,US-2021-147774-CHO-NUT-13000,2024-01-20,2026-07-19,Standard Class,147774,United States,Smyrna,Tennessee,37167,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,911,Lot's O' Nuts,32.881893,-111.768036,35.747845,-86.692345,2318.506896958026
55,US-2021-167927-CHO-TRI-54000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,911,Wicked Choccy's,32.076176,-81.088371,43.326618,-84.536095,1286.914759831898
56,US-2021-147627-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,911,Lot's O' Nuts,32.881893,-111.768036,34.969704,-92.373123,1801.5810404161675
57,US-2021-148614-CHO-SCR-58000,2024-01-20,2026-07-18,Standard Class,148614,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,910,Lot's O' Nuts,32.881893,-111.768036,36.116203,-119.681564,809.0978294533443
58,US-2021-167927-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2,911,Lot's O' Nuts,32.881893,-111.768036,43.326618,-84.536095,2634.443188447122
59,US-2021-167927-CHO-MIL-31000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,911,Wicked Choccy's,32.076176,-81.088371,43.326618,-84.536095,1286.914759831898
60,US-2021-147627-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,911,Lot's O' Nuts,32.881893,-111.768036,34.969704,-92.373123,1801.5810404161675
61,US-2021-110422-CHO-TRI-54000,2024-01-21,2026-07-16,Second Class,110422,United States,Miami,Florida,33180,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,907,Wicked Choccy's,32.076176,-81.088371,27.766279,-81.686783,482.69303090545304
62,CA-2021-115238-CHO-FUD-51000,2024-01-21,2026-07-17,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,908,Lot's O' Nuts,32.881893,-111.768036,,,
63,CA-2021-115238-CHO-MIL-31000,2024-01-21,2026-07-17,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,908,Wicked Choccy's,32.076176,-81.088371,,,
64,CA-2021-115238-CHO-TRI-54000,2024-01-21,2026-07-17,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,908,Wicked Choccy's,32.076176,-81.088371,,,
65,CA-2021-115238-CHO-FUD-51000,2024-01-21,2026-07-17,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2,908,Lot's O' Nuts,32.881893,-111.768036,,,
66,CA-2021-115238-CHO-MIL-31000,2024-01-21,2026-07-17,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,32.5,10,21.1,11.4,908,Wicked Choccy's,32.076176,-81.088371,,,
67,US-2021-146997-CHO-TRI-54000,2024-01-23,2026-07-20,Standard Class,146997,United States,Lafayette,Indiana,47905,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,909,Wicked Choccy's,32.076176,-81.088371,39.849426,-86.258278,981.1660865190305
68,US-2021-102645-CHO-FUD-51000,2024-01-23,2026-07-21,Standard Class,102645,United States,Las Vegas,Nevada,89115,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,21.6,6,14.4,7.2,910,Lot's O' Nuts,32.881893,-111.768036,38.313515,-117.055374,769.9522333201535
69,US-2021-167997-CHO-TRI-54000,2024-01-26,2026-07-22,First Class,167997,United States,Rapid City,South Dakota,57701,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,908,Wicked Choccy's,32.076176,-81.088371,44.299782,-99.438828,2093.6018856492933
70,US-2021-155502-CHO-MIL-31000,2024-01-26,2026-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,910,Wicked Choccy's,32.076176,-81.088371,37.769337,-78.169968,686.5861038427788
71,US-2021-155502-CHO-MIL-31000,2024-01-26,2026-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,910,Wicked Choccy's,32.076176,-81.088371,37.769337,-78.169968,686.5861038427788
72,US-2021-167997-CHO-TRI-54000,2024-01-26,2026-07-22,First Class,167997,United States,Rapid City,South Dakota,57701,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,908,Wicked Choccy's,32.076176,-81.088371,44.299782,-99.438828,2093.6018856492933
73,US-2021-155502-CHO-MIL-31000,2024-01-26,2026-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,910,Wicked Choccy's,32.076176,-81.088371,37.769337,-78.169968,686.5861038427788
74,US-2021-155502-CHO-TRI-54000,2024-01-26,2026-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,910,Wicked Choccy's,32.076176,-81.088371,37.769337,-78.169968,686.5861038427788
75,US-2021-155502-CHO-MIL-31000,2024-01-26,2026-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,26.0,8,16.88,9.12,910,Wicked Choccy's,32.076176,-81.088371,37.769337,-78.169968,686.5861038427788
76,US-2021-155502-CHO-FUD-51000,2024-01-26,2026-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,910,Lot's O' Nuts,32.881893,-111.768036,37.769337,-78.169968,3079.1529133029303
77,US-2021-155502-CHO-MIL-31000,2024-01-26,2026-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,42.25,13,27.43,14.82,910,Wicked Choccy's,32.076176,-81.088371,37.769337,-78.169968,686.5861038427788
78,US-2021-117163-CHO-NUT-13000,2024-01-27,2026-07-26,Standard Class,117163,United States,San Diego,California,92037,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,911,Lot's O' Nuts,32.881893,-111.768036,36.116203,-119.681564,809.0978294533443
79,US-2021-117163-CHO-TRI-54000,2024-01-27,2026-07-26,Standard Class,117163,United States,San Diego,California,92037,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,15.0,4,9.8,5.2,911,Wicked Choccy's,32.076176,-81.088371,36.116203,-119.681564,3558.625078818893
80,US-2021-117163-CHO-SCR-58000,2024-01-27,2026-07-26,Standard Class,117163,United States,San Diego,California,92037,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,911,Lot's O' Nuts,32.881893,-111.768036,36.116203,-119.681564,809.0978294533443
81,US-2021-100328-CHO-MIL-31000,2024-01-28,2026-07-27,Standard Class,100328,United States,New York City,New York,10024,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,911,Wicked Choccy's,32.076176,-81.088371,42.165726,-74.948051,1246.1444069037575
82,US-2021-134103-CHO-NUT-13000,2024-01-30,2026-07-28,Standard Class,134103,United States,Detroit,Michigan,48234,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,910,Lot's O' Nuts,32.881893,-111.768036,43.326618,-84.536095,2634.443188447122
83,US-2021-134103-CHO-NUT-13000,2024-01-30,2026-07-28,Standard Class,134103,United States,Detroit,Michigan,48234,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,910,Lot's O' Nuts,32.881893,-111.768036,43.326618,-84.536095,2634.443188447122
84,US-2021-115161-CHO-MIL-31000,2024-01-31,2026-07-26,First Class,115161,United States,Mission Viejo,California,92691,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,907,Wicked Choccy's,32.076176,-81.088371,36.116203,-119.681564,3558.625078818893
85,US-2021-140795-CHO-SCR-58000,2024-02-01,2026-07-27,First Class,140795,United States,Green Bay,Wisconsin,54302,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,21.6,6,15.0,6.6,907,Lot's O' Nuts,32.881893,-111.768036,44.268543,-89.616508,2292.9388744035473
86,US-2021-123400-CHO-MIL-31000,2024-02-02,2026-08-02,Standard Class,123400,United States,Saint Petersburg,Florida,33710,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,912,Wicked Choccy's,32.076176,-81.088371,27.766279,-81.686783,482.69303090545304
87,US-2021-139857-CHO-FUD-51000,2024-02-02,2026-07-30,Standard Class,139857,United States,San Diego,California,92037,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,909,Lot's O' Nuts,32.881893,-111.768036,36.116203,-119.681564,809.0978294533443
